region,drivmedel,årmånad,antal
01 Stockholms län,bensin,202003,3208
01 Stockholms län,bensin,202004,2405
01 Stockholms län,bensin,202005,2055
01 Stockholms län,bensin,202006,3275
01 Stockholms län,bensin,202007,2638
01 Stockholms län,bensin,202008,2872
01 Stockholms län,bensin,202009,3103
01 Stockholms län,bensin,202010,3082
01 Stockholms län,bensin,202011,2809
01 Stockholms län,bensin,202012,2464
01 Stockholms län,bensin,202101,1796
01 Stockholms län,bensin,202102,2361
01 Stockholms län,bensin,202103,4681
01 Stockholms län,bensin,202104,1998
01 Stockholms län,bensin,202105,2748
01 Stockholms län,bensin,202106,3194
01 Stockholms län,bensin,202107,1607
01 Stockholms län,bensin,202108,1566
01 Stockholms län,bensin,202109,1511
01 Stockholms län,bensin,202110,1338
01 Stockholms län,bensin,202111,1316
01 Stockholms län,bensin,202112,1430
01 Stockholms län,bensin,202201,1226
01 Stockholms län,bensin,202202,1261
01 Stockholms län,diesel,202003,2725
01 Stockholms län,diesel,202004,1827
01 Stockholms län,diesel,202005,1651
01 Stockholms län,diesel,202006,2631
01 Stockholms län,diesel,202007,1774
01 Stockholms län,diesel,202008,1729
01 Stockholms län,diesel,202009,1898
01 Stockholms län,diesel,202010,1714
01 Stockholms län,diesel,202011,1637
01 Stockholms län,diesel,202012,2136
01 Stockholms län,diesel,202101,1772
01 Stockholms län,diesel,202102,1604
01 Stockholms län,diesel,202103,3886
01 Stockholms län,diesel,202104,1160
01 Stockholms län,diesel,202105,1573
01 Stockholms län,diesel,202106,2151
01 Stockholms län,diesel,202107,713
01 Stockholms län,diesel,202108,975
01 Stockholms län,diesel,202109,1136
01 Stockholms län,diesel,202110,755
01 Stockholms län,diesel,202111,789
01 Stockholms län,diesel,202112,998
01 Stockholms län,diesel,202201,819
01 Stockholms län,diesel,202202,949
03 Uppsala län,bensin,202003,281
03 Uppsala län,bensin,202004,222
03 Uppsala län,bensin,202005,215
03 Uppsala län,bensin,202006,319
03 Uppsala län,bensin,202007,249
03 Uppsala län,bensin,202008,270
03 Uppsala län,bensin,202009,299
03 Uppsala län,bensin,202010,233
03 Uppsala län,bensin,202011,229
03 Uppsala län,bensin,202012,208
03 Uppsala län,bensin,202101,163
03 Uppsala län,bensin,202102,192
03 Uppsala län,bensin,202103,440
03 Uppsala län,bensin,202104,202
03 Uppsala län,bensin,202105,210
03 Uppsala län,bensin,202106,246
03 Uppsala län,bensin,202107,170
03 Uppsala län,bensin,202108,153
03 Uppsala län,bensin,202109,184
03 Uppsala län,bensin,202110,132
03 Uppsala län,bensin,202111,172
03 Uppsala län,bensin,202112,171
03 Uppsala län,bensin,202201,173
03 Uppsala län,bensin,202202,193
03 Uppsala län,diesel,202003,114
03 Uppsala län,diesel,202004,92
03 Uppsala län,diesel,202005,99
03 Uppsala län,diesel,202006,146
03 Uppsala län,diesel,202007,161
03 Uppsala län,diesel,202008,135
03 Uppsala län,diesel,202009,116
03 Uppsala län,diesel,202010,158
03 Uppsala län,diesel,202011,80
03 Uppsala län,diesel,202012,147
03 Uppsala län,diesel,202101,90
03 Uppsala län,diesel,202102,75
03 Uppsala län,diesel,202103,276
03 Uppsala län,diesel,202104,75
03 Uppsala län,diesel,202105,82
03 Uppsala län,diesel,202106,147
03 Uppsala län,diesel,202107,70
03 Uppsala län,diesel,202108,61
03 Uppsala län,diesel,202109,69
03 Uppsala län,diesel,202110,53
03 Uppsala län,diesel,202111,67
03 Uppsala län,diesel,202112,85
03 Uppsala län,diesel,202201,64
03 Uppsala län,diesel,202202,66
04 Södermanlands län,bensin,202003,325
04 Södermanlands län,bensin,202004,209
04 Södermanlands län,bensin,202005,179
04 Södermanlands län,bensin,202006,242
04 Södermanlands län,bensin,202007,225
04 Södermanlands län,bensin,202008,285
04 Södermanlands län,bensin,202009,236
04 Södermanlands län,bensin,202010,231
04 Södermanlands län,bensin,202011,190
04 Södermanlands län,bensin,202012,270
04 Södermanlands län,bensin,202101,173
04 Södermanlands län,bensin,202102,187
04 Södermanlands län,bensin,202103,420
04 Södermanlands län,bensin,202104,199
04 Södermanlands län,bensin,202105,190
04 Södermanlands län,bensin,202106,280
04 Södermanlands län,bensin,202107,172
04 Södermanlands län,bensin,202108,174
04 Södermanlands län,bensin,202109,204
04 Södermanlands län,bensin,202110,164
04 Södermanlands län,bensin,202111,157
04 Södermanlands län,bensin,202112,176
04 Södermanlands län,bensin,202201,125
04 Södermanlands län,bensin,202202,138
04 Södermanlands län,diesel,202003,119
04 Södermanlands län,diesel,202004,91
04 Södermanlands län,diesel,202005,50
04 Södermanlands län,diesel,202006,107
04 Södermanlands län,diesel,202007,130
04 Södermanlands län,diesel,202008,106
04 Södermanlands län,diesel,202009,100
04 Södermanlands län,diesel,202010,90
04 Södermanlands län,diesel,202011,111
04 Södermanlands län,diesel,202012,145
04 Södermanlands län,diesel,202101,64
04 Södermanlands län,diesel,202102,91
04 Södermanlands län,diesel,202103,242
04 Södermanlands län,diesel,202104,58
04 Södermanlands län,diesel,202105,83
04 Södermanlands län,diesel,202106,109
04 Södermanlands län,diesel,202107,69
04 Södermanlands län,diesel,202108,63
04 Södermanlands län,diesel,202109,66
04 Södermanlands län,diesel,202110,72
04 Södermanlands län,diesel,202111,73
04 Södermanlands län,diesel,202112,56
04 Södermanlands län,diesel,202201,65
04 Södermanlands län,diesel,202202,65
05 Östergötlands län,bensin,202003,393
05 Östergötlands län,bensin,202004,287
05 Östergötlands län,bensin,202005,296
05 Östergötlands län,bensin,202006,400
05 Östergötlands län,bensin,202007,396
05 Östergötlands län,bensin,202008,446
05 Östergötlands län,bensin,202009,458
05 Östergötlands län,bensin,202010,394
05 Östergötlands län,bensin,202011,347
05 Östergötlands län,bensin,202012,363
05 Östergötlands län,bensin,202101,312
05 Östergötlands län,bensin,202102,305
05 Östergötlands län,bensin,202103,668
05 Östergötlands län,bensin,202104,305
05 Östergötlands län,bensin,202105,300
05 Östergötlands län,bensin,202106,399
05 Östergötlands län,bensin,202107,286
05 Östergötlands län,bensin,202108,238
05 Östergötlands län,bensin,202109,277
05 Östergötlands län,bensin,202110,249
05 Östergötlands län,bensin,202111,200
05 Östergötlands län,bensin,202112,215
05 Östergötlands län,bensin,202201,223
05 Östergötlands län,bensin,202202,196
05 Östergötlands län,diesel,202003,247
05 Östergötlands län,diesel,202004,192
05 Östergötlands län,diesel,202005,155
05 Östergötlands län,diesel,202006,247
05 Östergötlands län,diesel,202007,186
05 Östergötlands län,diesel,202008,188
05 Östergötlands län,diesel,202009,177
